Gene,logFC,P-value,Adj_P
ILMN_3289489,-0.4786021954803932,1.3834867311545223e-08,9.445993205042627e-05
ILMN_1694596,0.5233609281960776,1.4350160584948922e-08,9.445993205042627e-05
ILMN_1705201,-0.33845374338235246,2.5025346573570777e-08,0.00010981956254701976
ILMN_1654552,-0.276248468764706,3.387249687399764e-08,0.00011148285533654473
ILMN_1661343,0.5900603291470596,5.519521202721712e-08,0.0001453289932676627
ILMN_1728074,-0.24792613725490042,9.296853057318052e-08,0.00020398845083265357
ILMN_1700232,0.36190996408823484,1.4143720680354173e-07,0.00021614669644519363
ILMN_1660663,0.46218832743137206,1.3156755557866348e-07,0.00021614669644519363
ILMN_2282641,0.26172190379411653,1.477645475128555e-07,0.00021614669644519363
ILMN_1778401,0.25772498156862866,2.0563888827698665e-07,0.0002461123603787754
ILMN_1655414,0.511730482843137,2.0284587972357895e-07,0.0002461123603787754
ILMN_1693311,0.21701251373529473,3.488496222201357e-07,0.00038271710637734056
ILMN_1679025,-0.46334020961764644,5.846015996016592e-07,0.0005869938451699387
ILMN_1655935,-0.2535570733235293,6.688118251081717e-07,0.0005869938451699387
ILMN_1795243,-0.38047891578431425,6.493174318643644e-07,0.0005869938451699387
ILMN_1777296,0.2910432907549012,7.278201583241424e-07,0.0005988595240210833
ILMN_2373177,0.30851292744117664,8.915883124416076e-07,0.000604968837883488
ILMN_1738237,0.24367424694117723,8.052524537891575e-07,0.000604968837883488
ILMN_1719165,0.24423950464705912,9.190563431575966e-07,0.000604968837883488
ILMN_1796669,0.3525919282843133,8.699849163641284e-07,0.000604968837883488
ILMN_2401618,0.27692472684313696,9.953522281097523e-07,0.0006239910515745185
ILMN_1670801,-0.2712494889019599,1.309237520040327e-06,0.0006405226220627694
ILMN_1693421,-0.29333319506862754,1.3136430532240616e-06,0.0006405226220627694
ILMN_1757439,0.2839176944215689,1.2853758675543441e-06,0.0006405226220627694
ILMN_1749213,-0.3469542817549023,1.1709802813724961e-06,0.0006405226220627694
ILMN_3226392,-0.3281386341078445,1.1585753199097197e-06,0.0006405226220627694
